uri,target,creator,description
https://geoconnex.us/nednr/gages/00029000,https://features.internetofwater.dev/collections/ne/gages/items/00029000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00030000,https://features.internetofwater.dev/collections/ne/gages/items/00030000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00033000,https://features.internetofwater.dev/collections/ne/gages/items/00033000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00037000,https://features.internetofwater.dev/collections/ne/gages/items/00037000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00038100,https://features.internetofwater.dev/collections/ne/gages/items/00038100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00038200,https://features.internetofwater.dev/collections/ne/gages/items/00038200,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00039000,https://features.internetofwater.dev/collections/ne/gages/items/00039000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00040000,https://features.internetofwater.dev/collections/ne/gages/items/00040000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00046000,https://features.internetofwater.dev/collections/ne/gages/items/00046000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00047000,https://features.internetofwater.dev/collections/ne/gages/items/00047000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00048000,https://features.internetofwater.dev/collections/ne/gages/items/00048000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00049000,https://features.internetofwater.dev/collections/ne/gages/items/00049000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00054700,https://features.internetofwater.dev/collections/ne/gages/items/00054700,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00056000,https://features.internetofwater.dev/collections/ne/gages/items/00056000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00057000,https://features.internetofwater.dev/collections/ne/gages/items/00057000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00061500,https://features.internetofwater.dev/collections/ne/gages/items/00061500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00062000,https://features.internetofwater.dev/collections/ne/gages/items/00062000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00062500,https://features.internetofwater.dev/collections/ne/gages/items/00062500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00063000,https://features.internetofwater.dev/collections/ne/gages/items/00063000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00067000,https://features.internetofwater.dev/collections/ne/gages/items/00067000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00069000,https://features.internetofwater.dev/collections/ne/gages/items/00069000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00072000,https://features.internetofwater.dev/collections/ne/gages/items/00072000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00073000,https://features.internetofwater.dev/collections/ne/gages/items/00073000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00075000,https://features.internetofwater.dev/collections/ne/gages/items/00075000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00076000,https://features.internetofwater.dev/collections/ne/gages/items/00076000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00076500,https://features.internetofwater.dev/collections/ne/gages/items/00076500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00078000,https://features.internetofwater.dev/collections/ne/gages/items/00078000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00079000,https://features.internetofwater.dev/collections/ne/gages/items/00079000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00080000,https://features.internetofwater.dev/collections/ne/gages/items/00080000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00081000,https://features.internetofwater.dev/collections/ne/gages/items/00081000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00082000,https://features.internetofwater.dev/collections/ne/gages/items/00082000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00082100,https://features.internetofwater.dev/collections/ne/gages/items/00082100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00084000,https://features.internetofwater.dev/collections/ne/gages/items/00084000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00086000,https://features.internetofwater.dev/collections/ne/gages/items/00086000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00088000,https://features.internetofwater.dev/collections/ne/gages/items/00088000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00088500,https://features.internetofwater.dev/collections/ne/gages/items/00088500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00089000,https://features.internetofwater.dev/collections/ne/gages/items/00089000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00090000,https://features.internetofwater.dev/collections/ne/gages/items/00090000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00090200,https://features.internetofwater.dev/collections/ne/gages/items/00090200,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00091000,https://features.internetofwater.dev/collections/ne/gages/items/00091000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00092000,https://features.internetofwater.dev/collections/ne/gages/items/00092000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00093000,https://features.internetofwater.dev/collections/ne/gages/items/00093000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00093200,https://features.internetofwater.dev/collections/ne/gages/items/00093200,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00098000,https://features.internetofwater.dev/collections/ne/gages/items/00098000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00099000,https://features.internetofwater.dev/collections/ne/gages/items/00099000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00100000,https://features.internetofwater.dev/collections/ne/gages/items/00100000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00100500,https://features.internetofwater.dev/collections/ne/gages/items/00100500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00101100,https://features.internetofwater.dev/collections/ne/gages/items/00101100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00104000,https://features.internetofwater.dev/collections/ne/gages/items/00104000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00105500,https://features.internetofwater.dev/collections/ne/gages/items/00105500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00106000,https://features.internetofwater.dev/collections/ne/gages/items/00106000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00106100,https://features.internetofwater.dev/collections/ne/gages/items/00106100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00107000,https://features.internetofwater.dev/collections/ne/gages/items/00107000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00107100,https://features.internetofwater.dev/collections/ne/gages/items/00107100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00107200,https://features.internetofwater.dev/collections/ne/gages/items/00107200,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00108000,https://features.internetofwater.dev/collections/ne/gages/items/00108000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00109000,https://features.internetofwater.dev/collections/ne/gages/items/00109000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00114000,https://features.internetofwater.dev/collections/ne/gages/items/00114000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00115100,https://features.internetofwater.dev/collections/ne/gages/items/00115100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00117000,https://features.internetofwater.dev/collections/ne/gages/items/00117000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00120000,https://features.internetofwater.dev/collections/ne/gages/items/00120000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00120500,https://features.internetofwater.dev/collections/ne/gages/items/00120500,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00121000,https://features.internetofwater.dev/collections/ne/gages/items/00121000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00122000,https://features.internetofwater.dev/collections/ne/gages/items/00122000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00123000,https://features.internetofwater.dev/collections/ne/gages/items/00123000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00127000,https://features.internetofwater.dev/collections/ne/gages/items/00127000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00130000,https://features.internetofwater.dev/collections/ne/gages/items/00130000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00133000,https://features.internetofwater.dev/collections/ne/gages/items/00133000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00136000,https://features.internetofwater.dev/collections/ne/gages/items/00136000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00138000,https://features.internetofwater.dev/collections/ne/gages/items/00138000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00140000,https://features.internetofwater.dev/collections/ne/gages/items/00140000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00140003,https://features.internetofwater.dev/collections/ne/gages/items/00140003,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00141000,https://features.internetofwater.dev/collections/ne/gages/items/00141000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00142001,https://features.internetofwater.dev/collections/ne/gages/items/00142001,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00143000,https://features.internetofwater.dev/collections/ne/gages/items/00143000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00144000,https://features.internetofwater.dev/collections/ne/gages/items/00144000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00144200,https://features.internetofwater.dev/collections/ne/gages/items/00144200,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00144400,https://features.internetofwater.dev/collections/ne/gages/items/00144400,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00145100,https://features.internetofwater.dev/collections/ne/gages/items/00145100,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00145700,https://features.internetofwater.dev/collections/ne/gages/items/00145700,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00146000,https://features.internetofwater.dev/collections/ne/gages/items/00146000,ewiggans@lincolninst.edu,nebraska state gages
https://geoconnex.us/nednr/gages/00147000,https://features.internetofwater.dev/collections/ne/gages/items/00147000,ewiggans@lincolninst.edu,nebraska state gages
